latitude,longitude,mag,magType
42.2557,85.5798,4.6,1
26.3342,92.3725,4.1,1
23.3819,82.5056,4.7,1
31.1137,130.4738,4.3,1
24.8057,122.0513,4.4,1
23.3904,121.4739,3.8,3
51.2628,100.2528,4.7,1
24.9275,123.2654,4.4,1
26.8953,106.8147,4.0,1
28.4073,94.5605,5.9,2
18.3479,121.3961,4.2,1
22.8561,121.2823,4.6,3
21.7974,100.8135,4.2,1
27.909,127.8659,4.3,1
17.6605,119.4157,4.4,1
28.2955,105.0099,4.5,1
20.4836,122.0853,4.7,1
23.2575,93.3418,4.8,1
23.069,93.3699,4.1,1
23.2948,93.7812,4.8,1
36.1755,74.9315,4.5,1
18.4692,94.7462,4.1,1
19.3209,122.3393,4.4,1
24.862,123.23,4.3,1
35.6993,75.2078,4.5,1
24.0036,122.5163,3.8,3
24.0456,121.7349,4.8,3
29.9082,95.0011,4.4,1
34.9007,97.4775,4.1,1
22.951,106.6881,5.0,2
24.8865,123.2904,4.6,1
26.7275,129.6323,4.5,1
24.0463,121.7745,5.2,2
35.9282,77.9225,4.1,1
39.3026,75.8731,4.1,1
30.6445,131.036,4.9,1
24.635,127.5606,4.3,1
23.1641,94.2177,4.9,1
28.3651,104.7626,4.4,1
23.9373,122.5832,4.4,1
28.1765,127.9378,4.4,1
44.89,79.3059,4.3,1
41.1177,72.9532,4.3,1
28.3377,128.1873,4.6,1
24.6878,125.1474,4.7,1
24.7088,122.6409,4.2,1
28.2221,104.803,4.9,1
40.8234,78.8615,4.0,1
37.5069,77.5353,4.5,1
25.3772,130.4836,5.3,2
35.6366,82.3729,4.5,1
20.0975,122.2923,4.2,1
25.9272,125.5593,4.6,1
30.4473,94.8662,4.5,1
19.0512,121.0992,4.5,1
23.206,93.2628,4.5,1
24.1775,121.6638,4.8,1
26.33,125.9049,4.4,1
25.7467,103.385,4.1,1
48.7584,125.2579,4.5,1
24.9827,123.3887,4.2,1
24.1357,124.1734,4.0,1
33.9546,87.7981,4.2,1
35.0149,74.474,5.1,1
41.7283,133.3712,4.0,1
33.5233,89.2541,4.2,1
29.4776,104.5995,4.9,1
25.0899,95.0419,4.5,1
29.5974,81.6522,5.6,1
17.5677,122.1761,4.2,1
21.6954,121.0082,4.4,1
31.4116,80.6072,4.1,1
18.2393,96.0814,4.5,1
26.695,129.288,4.2,1
23.7804,98.3563,4.6,1
27.7046,86.0378,4.9,1
28.8257,130.0581,4.0,1
36.7677,75.7308,4.2,1
25.0865,123.2265,4.6,1
33.0358,90.2706,4.1,1
37.8149,100.9752,4.0,1
23.5922,98.4028,4.3,1
26.8946,106.6865,4.9,1
22.5731,93.3104,4.3,1
23.3661,82.4336,4.9,1
33.7644,89.5296,4.2,1
38.1403,74.1982,4.6,1
29.2333,130.5304,4.8,1
24.9356,123.3251,4.4,1
28.6904,104.7746,4.6,1
28.9235,130.6003,4.5,1
23.7057,126.2808,4.2,1
20.0797,120.6157,4.3,1
50.3744,90.6758,4.4,1
39.7276,77.1456,5.3,2
27.3105,100.8861,4.3,1
40.1855,83.2142,4.9,1
23.9253,121.6306,4.2,1
34.3623,73.9968,4.2,1
41.6811,92.6237,4.9,1
30.4455,131.3552,4.5,1
30.7198,131.9416,4.6,1
35.0467,81.0371,5.1,1
29.2611,87.2216,4.1,1
29.2631,130.7984,4.6,1
30.389,94.806,4.7,1
51.2488,100.3123,4.2,1
34.0702,98.2416,4.2,1
33.1624,83.1998,4.0,1
23.4317,121.5147,4.3,1
23.2679,121.3588,4.2,1
19.1257,96.3104,4.0,1
24.8971,122.5849,4.5,1
22.4437,121.0548,4.5,1
22.1182,121.2115,4.1,1
21.2484,94.7538,4.7,1
19.4452,101.2534,5.7,2
18.9984,120.5079,4.9,1
24.9057,122.5363,4.2,1
37.8416,101.2249,4.9,1
42.3639,80.3764,4.2,1
22.9688,124.037,4.6,1
24.1693,121.7052,4.8,3
31.6849,90.6416,4.7,1
33.1157,92.7977,5.7,2
30.125,130.9762,4.4,1
24.2617,126.6976,4.3,1
26.4017,127.3475,4.6,1
28.5808,87.2271,4.4,1
26.8354,126.4814,4.8,1
27.1837,103.1723,4.5,1
26.6875,126.6535,5.0,1
28.8341,102.4021,4.3,1
26.8525,126.4075,4.2,1
24.0188,122.2244,4.6,3
28.6107,87.2197,4.0,1
26.8395,126.5254,5.6,2
36.9414,73.0583,4.3,1
33.2367,75.8439,4.0,1
18.9712,121.0859,4.3,1
23.1736,122.0596,4.9,2
30.4109,94.8431,4.9,1
29.2518,104.1048,4.6,1
23.4969,123.6026,4.7,1
23.3057,121.5349,4.5,3
45.3451,79.9058,4.4,1
23.462,121.4312,4.5,1
24.1074,121.779,5.2,2
33.4622,133.9125,4.3,3
50.3728,91.1611,4.4,1
23.1822,120.7764,4.0,1
34.6953,79.7421,4.5,1
35.0343,92.2708,4.2,1
30.3956,94.7098,4.8,1
22.5189,94.2094,4.4,1
37.0695,96.8538,5.0,1
24.7477,122.2322,4.6,1
26.9235,130.1982,4.5,1
24.3144,124.7835,5.0,2
26.1494,129.4665,4.5,1
30.2891,87.4647,5.0,1
37.6825,101.4046,5.1,2
33.9885,89.2958,4.2,1
29.4293,104.0285,5.0,1
35.8027,124.047,4.4,1
34.7214,74.4055,4.6,1
39.7884,73.9151,4.6,1
26.7827,126.3812,4.1,1
39.768,77.2433,4.6,1
24.6694,127.6888,4.5,1
24.846,122.756,4.0,1
41.3585,83.8336,4.5,1
41.7568,81.4017,4.5,1
28.9089,105.2273,4.3,1
32.568,78.4627,4.0,1
24.4202,96.1023,4.8,1
24.7552,122.5801,4.2,1
37.7236,77.9238,4.8,1
19.2413,121.0781,4.2,1
31.3217,133.1148,4.8,2
23.9392,122.727,4.7,3
24.8538,122.5211,4.3,1
32.815,97.3419,4.1,1
18.3202,96.0978,4.7,1
31.4609,104.058,4.4,1
34.0777,78.4395,4.3,1
41.1226,77.8721,4.2,1
32.7152,85.3323,5.4,2
25.2658,124.494,4.5,1
17.6247,94.3051,4.9,1
39.6124,73.918,4.6,1
32.7029,131.9771,4.3,1
18.0929,121.0493,4.8,1
31.5121,87.8006,4.3,1
30.6109,99.7028,4.2,1
31.7411,131.7783,4.9,1
51.6527,75.2464,4.6,1
26.8211,126.3933,4.2,1
23.8045,120.8838,4.4,1
50.374,90.6921,4.1,1
26.8103,127.7345,4.4,1
30.6338,131.2297,4.3,1
31.3694,130.6856,4.2,1
29.2691,130.3861,4.0,1
27.9516,128.0852,4.4,1
19.3607,122.3017,5.1,2
51.1805,100.311,5.0,1
34.6768,97.9158,5.1,2
33.3042,75.5872,5.1,1
24.005,96.1862,4.4,1
21.7031,121.0439,5.7,2
26.777,126.4591,4.2,1
23.6827,122.8139,4.2,1
30.4965,84.2884,4.6,1
22.9193,106.7256,5.0,1
38.1923,134.2941,4.0,1
24.2129,93.9507,4.3,1
26.6926,130.0292,4.2,1
34.574,98.9663,4.6,1
41.9386,77.2122,4.2,3
23.2381,94.6949,4.4,1
25.1948,96.4551,4.3,1
37.7592,101.1086,5.1,1
30.5797,132.0621,4.5,1
32.7439,132.1239,4.5,1
23.0808,120.8718,4.7,3
31.7794,103.412,4.7,1
25.643,94.7776,4.6,1
23.8642,122.5525,4.4,3
38.6815,73.6617,4.3,1
38.3762,133.3202,4.2,1
31.2327,130.7241,4.6,1
46.8367,83.3582,5.3,1
41.8891,82.5752,4.2,1
26.3308,128.9072,4.3,1
23.5406,125.2146,4.4,1
27.2257,96.1444,4.0,1
40.7197,82.9628,4.5,1
27.2579,86.9202,4.3,1
27.8957,128.0117,4.4,1
17.8712,122.2684,5.1,1
21.6707,119.9057,4.5,1
23.8395,122.2045,5.2,2
35.6472,89.2704,4.2,1
30.0401,95.1522,4.6,1
24.1461,126.6505,4.3,1
23.8931,122.4817,4.4,1
29.2986,130.5406,4.6,1
32.6312,132.187,4.6,1
26.031,129.4662,4.5,1
17.6548,120.7067,5.0,1
31.5573,131.2714,4.3,1
25.4182,122.2055,4.2,1
31.9185,90.3738,4.0,1
26.0871,125.5636,4.4,1
23.8565,121.5872,4.2,1
29.2271,129.3731,4.6,1
31.968,93.5326,4.2,1
23.7649,122.5512,4.4,1
23.4307,121.6004,4.4,1
33.0725,121.3722,4.2,1
23.0195,120.9417,4.2,1
21.4925,123.5854,4.0,1
24.074,121.6908,4.6,3
24.8074,123.3157,4.7,1
40.0385,83.0475,4.1,1
23.8388,122.0885,4.7,1
28.874,81.5789,4.4,1
25.751,100.2228,4.1,1
20.5681,121.1936,4.2,1
35.6587,82.4619,4.9,1
19.7457,121.3289,4.2,1
37.8674,101.4533,4.1,1
23.7325,121.4608,4.4,1
29.0425,130.4531,4.6,1
30.7461,131.2533,4.3,1
22.7983,94.6878,4.1,1
24.2111,121.6968,4.6,3
26.5942,127.3669,4.5,1
42.6205,79.4041,4.4,1
39.5635,74.4926,4.5,1
26.7185,126.5186,4.7,1
30.7774,130.3348,4.3,1
20.957,121.6829,4.5,1
26.4904,92.1052,4.2,1
24.8236,123.1895,4.5,1
27.9837,128.0768,4.4,1
23.4762,123.7697,4.7,1
24.9419,123.8318,4.4,1
28.4083,104.8405,4.6,1
18.1865,120.0961,4.5,1
23.1411,94.1874,4.0,1
26.6969,129.6547,4.9,1
19.2638,121.1478,4.9,1
20.7562,122.0696,4.5,1
51.2719,100.3374,4.4,1
21.0288,121.0204,4.5,1
22.718,120.6436,4.2,1
25.981,128.5368,4.2,1
28.0137,92.2097,4.6,1
